structure,mixingenergy
O96Ru42Pd5Co1,-4.116
O96Ru42Rh2Mn1V3,-1.324
O96Ru42Rh4Tc1Ni1,-1.896
O96Ru42Sb2In2Nb2,-4.363
O96Ru42Sb2Pd2Co2,-5.170
O96Ru42Sb3Ag1Rh2,-4.055
O96Ru42Sb3Zr2V1,-1.477
O96Ru42Sb4Sn2,-1.577
O96Ru42Sn2In2Ge2,0.132
O96Ru42Sn2In4,-4.455
O96Ru42Sn3Ga1Co2,-2.046
O96Ru42Sn3Pd3,-0.968
O96Ru42Sn4Cd1Co1,0.213
O96Ru42Sn4Zr1Cu1,-1.108
O96Ru42V4Ta2,-3.862
O96Ru43Au2Hf1Zr2,0.443
O96Ru43Au2Zr3,1.327
O96Ru43Bi2Re1Fe2,-6.116
O96Ru43Bi5,-1.359
O96Ru43Cd4Ge1,-10.824
O96Ru43Co3Ta2,-4.068
O96Ru43Fe2Ti3,-0.445
O96Ru43Ga3Sn2,-3.883
O96Ru43Hf2Ag1Ga2,-1.200
O96Ru43Hf2Ge2Co1,1.455
O96Ru43Hf3Zn2,-2.923
O96Ru43Hf4Y1,0.302
O96Ru43Hg2Sn1Ga2,-5.121
O96Ru43Hg4Sn1,-0.233
O96Ru43In2Nb2Fe1,-6.418
O96Ru43Ir2Sb3,-1.744
O96Ru43Ir3Zr2,1.399
O96Ru43La2Tc2Zn1,-8.576
O96Ru43La4Sb1,4.074
O96Ru43Nb2Ga3,-4.316
O96Ru43Os3Re2,-1.437
O96Ru43Os4W1,-1.012
O96Ru43Pb2Nb2Zr1,-0.322
O96Ru43Pd2Mo2Zn1,-3.874
O96Ru43Po3Bi1Mn1,-2.889
O96Ru43Po3Tl2,5.906
O96Ru43Pt2Cd1Ag2,-1.690
O96Ru43Pt2Hf3,1.650
O96Ru43Pt2Rh2Sc1,-1.684
O96Ru43Pt3La1Zn1,0.082
O96Ru43Pt4Re1,-0.845
O96Ru43Re3Co2,-4.185
O96Ru43Sb2Ag3,-3.474
O96Ru43Sb2In3,-2.949
O96Ru43Sb2Pd2Cu1,-2.915
O96Ru43Tl2Tc3,-5.442
O96Ru43Tl3Ag1Fe1,-5.499
O96Ru43W2Cu3,-8.506
O96Ru43W4Rh1,-4.149
O96Ru43Y3Ga1Ti1,-5.237
O96Ru43Zn3Ni2,-8.883
O96Ru43Zr4Mn1,0.583
O96Ru44Ag3Rh1,-2.728
O96Ru44Au2Re1Co1,-2.150
O96Ru44Bi2Os1Ta1,0.585
O96Ru44Co2Ga2,-3.926
O96Ru44Ga2Co2,-3.722
O96Ru44Ga4,-3.542
O96Ru44Hf2Co1Ti1,0.345
O96Ru44Hf2Sn1Zn1,-2.593
O96Ru44Ir2Os1Ag1,-1.421
O96Ru44Ir3Pd1,-0.073
O96Ru44La2Sn1Co1,2.708
O96Ru44La3Sn1,-9.248
O96Ru44Mn2Bi2,-2.400
O96Ru44Mn2Sc2,-4.258
O96Ru44Nb3Ti1,-2.229
O96Ru44Pb2Mo2,-1.312
O96Ru44Pb3Re1,-3.036
O96Ru44Po2Hg1In1,2.654
O96Ru44Po2Tc2,-1.313
O96Ru44Re3Ag1,-4.336
O96Ru44Rh4,-0.802
O96Ru44Sb2Sn1Ga1,-1.278
O96Ru44Sn2Cd1Zn1,-4.237
O96Ru44Ta3La1,-0.546
O96Ru44Ta4,-5.327
O96Ru44Tc2Ga2,-3.354
O96Ru44V2Cu2,-3.657
O96Ru44V4,-0.936
O96Ru44W3La1,-0.337
O96Ru45Ag2Pd1,-0.702
